Date,Order Number,Currency,Sub-total,Shipping,Tax,Total,Earning,Status,Coupon Code,Products
08-Jul-2024,188195,USD,919,0,78.11,997.11,55.14,approved,NEW80,"< Newbie Exclusive: FREE Material Pack with Machine Order, xTool M1 Smart Laser Engraver and Vinyl Cutter - xTool M1 - 10W Basic"
07-Jul-2024,188002,USD,50,0,0.00,50,3,approved,,M1 Ultra Deposit - The World's 1st 4-in-1 Craft Machine
05-Jul-2024,187593,USD,50,0,0.00,50,3,approved,,M1 Ultra Deposit - The World's 1st 4-in-1 Craft Machine
03-Jul-2024,187103,USD,2338.99,0,144.07,2483.06,140.3394,approved,NEW80,"xToolCare for xtool F1 - for F1, xTool F1 - Fastest Portable Laser Engraver with  IR + Diode Laser - xTool F1 Deluxe Bundle"
03-Jul-2024,187073,USD,1519.99,0,144.40,1664.39,91.1994,approved,xToolNeo,xTool S1 Enclosed Diode Laser Cutter - xTool S1 20W / Black / xTool S1 20W Basic Bundle
29-Jun-2024,186091,USD,5237,0,332.55,5569.55,314.22,approved,P2SURVEY100,"< P2 Limited Free Gift: Fire Safety Set, 20% Off Material Card, Material Kit... (100% off), < Free xToolCare for P2 (100% off), xTool P2 Honeycomb Panel 2.0, xTool P2: 55W Desktop CO2 Laser Cutter - White / xTool P2+RA2 Pro+Automatic Conveyor Feeder(39"")+Riser Base / US Plug (110V)"
22-Jun-2024,184622,USD,27.98,10,2.51,40.49,1.6788,approved,MTRSURVEY,"Black Laser Marking Spray (8.5oz), Mixed Color Stainless Steel Dog Tag (10pcs)"
21-Jun-2024,184455,USD,71.1,0,4.98,76.08,4.266,approved,XCCA10HE3y73dpzy,xTool Accessory Kit for RA2 Pro
19-Jun-2024,183887,USD,3899,0,0.00,3899,233.94,approved,XT100,"< P2 Limited Free Gift: Fire Safety Set, 20% Off Material Card, Material Kit... (100% off), xTool P2 55W Desktop CO2 Laser Cutter - Grey / xTool P2 / US Plug (110V)"
18-Jun-2024,183574,USD,3919,0,207.71,4126.71,235.14,approved,xToolBrandon,"< P2 Limited Free Gift: Fire Safety Set, 20% Off Material Card, Material Kit... (100% off), xTool P2 55W Desktop CO2 Laser Cutter - White / xTool P2 / US Plug (110V)"
17-Jun-2024,183154,USD,118.99,0,8.34,127.33,7.1394,approved,6EREVCFQZ4MS,"xTool Smoke Purifier Pre filter(5PCS), Filter Pack for xTool F1 Desktop Air Purifier (1 Pack)"
17-Jun-2024,183147,USD,1249.99,0,82.81,1332.8,74.9994,approved,TIS20THTVMK95,xTool S1: Enclosed Diode Laser Cutter - xTool S1 20W / Black / xTool S1 20W Basic Kit
